episode_reward_history
21.0
25.0
32.0
44.0
19.0
17.0
12.0
11.0
9.0
15.0
15.0
12.0
19.0
15.0
19.0
16.0
10.0
11.0
12.0
16.0
12.0
13.0
19.0
63.0
14.0
32.0
12.0
10.0
23.0
14.0
14.0
11.0
20.0
19.0
19.0
56.0
44.0
35.0
65.0
13.0
36.0
12.0
19.0
22.0
14.0
36.0
44.0
49.0
39.0
44.0
48.0
66.0
41.0
47.0
27.0
86.0
109.0
112.0
100.0
42.0
57.0
83.0
12.0
14.0
22.0
31.0
35.0
18.0
18.0
15.0
50.0
13.0
13.0
14.0
18.0
16.0
11.0
13.0
16.0
13.0
13.0
18.0
21.0
11.0
24.0
42.0
103.0
15.0
