episode_reward_history
17.0
16.0
45.0
31.0
14.0
13.0
39.0
33.0
21.0
14.0
13.0
9.0
11.0
10.0
17.0
14.0
23.0
9.0
10.0
36.0
12.0
19.0
10.0
62.0
33.0
20.0
25.0
25.0
33.0
11.0
64.0
88.0
17.0
22.0
52.0
15.0
14.0
91.0
14.0
9.0
9.0
11.0
18.0
19.0
12.0
82.0
27.0
10.0
11.0
20.0
11.0
16.0
16.0
23.0
52.0
12.0
11.0
94.0
17.0
46.0
10.0
15.0
17.0
64.0
17.0
39.0
25.0
43.0
9.0
14.0
14.0
26.0
33.0
30.0
49.0
30.0
63.0
72.0
89.0
56.0
16.0
17.0
23.0
13.0
12.0
11.0
14.0
9.0
10.0
18.0
12.0
20.0
13.0
11.0
29.0
9.0
16.0
22.0
19.0
10.0
16.0
46.0
31.0
17.0
82.0
14.0
12.0
17.0
55.0
17.0
11.0
75.0
11.0
23.0
55.0
64.0
17.0
30.0
40.0
20.0
131.0
44.0
49.0
30.0
10.0
17.0
19.0
10.0
11.0
94.0
99.0
34.0
10.0
11.0
13.0
12.0
10.0
10.0
14.0
11.0
13.0
16.0
10.0
25.0
16.0
13.0
11.0
18.0
19.0
22.0
29.0
